Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G57430,0,0,0
AT1G57440,0,0,0
AT1G57450,0,0,0
AT1G57460,0,0,0
AT1G57470,0,0,0
AT1G57480,0,0,0
AT1G57490,0,0,0
AT1G57500,0,0,0
AT1G57510,0,0,0
AT1G57520,0,0,0
AT1G57530,0,0,0
AT1G57540,2.547812838,1.73652154,1.447705924
AT1G57550,0,0,0
AT1G57560,0.534706542,1.343561512,1.338487155
AT1G57565,0,0,0
AT1G57570,0.334504167,0.202660238,0.076417619
AT1G57580,0,0,0
AT1G57590,0.595775065,0.598128508,1.360853125
AT1G57600,7.657317815,6.19399503,2.863915708
AT1G57610,4.929330874,4.341418845,3.527478324
AT1G57613,0,0,0
AT1G57620,2.273904522,2.059370377,3.940074017
AT1G57630,0.065822353,0.076975063,0.211214045
AT1G57650,0.003704131,0,0.010805454
AT1G57660,48.77584841,39.51591858,57.75485065
AT1G57670,0.088701841,0.02829032,0.070569641
AT1G57680,131.8045287,131.2158009,30.76631054
AT1G57690,0,0,0
AT1G57700,2.152162409,2.803591107,1.873091482
AT1G57710,0,0,0
AT1G57720,67.73779312,53.29752643,76.20983947
AT1G57730,0,0.015748413,0
AT1G57740,0,0,0
AT1G57750,0,0.017349806,0.007213125
AT1G57760,0,0,0
AT1G57765,5.782295003,4.690962033,4.998327836
AT1G57770,1.558267072,18.37837522,22.34735161
AT1G57775,0,0,0
AT1G57777,0,0,0
AT1G57780,0,0,0
AT1G57790,2.99085548,2.775885417,2.66094457
AT1G57800,0.057584463,0.010360211,0.006460835
AT1G57820,3.363317954,2.818267739,3.012905543
AT1G57830,0,0,0
AT1G57835,0.015312019,0,0
AT1G57840,0.046543475,0.018143213,0
AT1G57850,0.028733472,0.011200657,0
AT1G57860,10.43714737,9.049447003,20.01322696
AT1G57870,4.286452708,4.222094896,3.183606795
AT1G57900,0,0.304906779,0
AT1G57906,0,0,0
AT1G57943,0.104291862,0.024392542,0.020282238
AT1G57980,1.129037383,1.662911615,1.255111807
AT1G57990,24.27901065,14.4622307,15.80524473
AT1G58007,0.474368119,0.445613553,0.124768528
AT1G58010,0,0,0
AT1G58025,0.99232928,1.023940676,2.173907738
AT1G58030,291.1883129,232.6369202,15.2903379
AT1G58037,0.531384595,0.235711244,0.187083597
AT1G58050,0,0,0.006436535
AT1G58055,0,0,0
AT1G58060,3.963802173,5.044903981,4.996408809
AT1G58070,1.710955071,1.617512283,1.352725043
AT1G58080,21.1813523,34.3858884,58.59917407
AT1G58090,0,0,0
AT1G58100,31.16968284,18.14868166,6.115782342
AT1G58110,7.313576342,10.69992193,11.15949163
AT1G58120,0.082135545,0.048026153,0.039933428
AT1G58130,0,0,0.018205466
AT1G58150,4.999207711,3.022554159,3.37302429
AT1G58160,2.180648014,1.191908319,1.313735842
AT1G58170,1.17150843,0.988064026,0.642066295
AT1G58180,3.285431025,1.610129881,2.257514605
AT1G58190,3.730706654,2.927684935,0.941629397
AT1G58200,6.408884748,10.47353123,5.801907806
AT1G58210,1.163836716,0.892625643,0.650354356
AT1G58215,0.01497968,0.007007114,0
AT1G58220,6.77773238,7.330178314,3.577092966
AT1G58223,0,0,0
AT1G58225,0,0,0.259289969
AT1G58230,7.152454494,9.721534757,7.417393471
AT1G58235,61.3717493,61.29040162,3.747854644
AT1G58242,0,0,0
AT1G58245,0,0,0
AT1G58248,0,0,0
AT1G58250,7.445407856,9.080122469,9.313931561
AT1G58260,0,0,0
AT1G58265,0,0,0
AT1G58270,8.927540179,15.22110362,9.646589464
AT1G58280,2.057095379,1.84384572,3.224995549
AT1G58290,12.22123714,49.65375894,43.86768895
AT1G58300,0.007624913,0,0
AT1G58310,0,0,0
AT1G58320,0.224372929,0.145772165,0.018181289
AT1G58330,0,0,0
AT1G58340,11.19631627,35.22481048,2.234918635
