Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT1G01830,-0.153119925,0.430360174,0.550930132,0.34332384,0.045485706,0.082771999,-0.019412555,0.943369525,0.967808528
AT1G04067,-2.223027077,0.269347092,NA,-0.595443322,0.775879696,NA,-1.295262708,0.570127576,0.665942558
AT1G01840,1.612783195,0.115636716,0.190442241,1.089775577,0.115348096,0.183792449,0.497610281,0.531915163,0.632285621
AT1G01860,-0.954531962,0.003454888,0.008727646,-0.367416098,0.144316736,0.221757693,-0.147046953,0.608094423,0.698221027
AT1G04073,-1.623434081,0.861041829,NA,0,1,NA,0,1,NA
AT1G01870,4.600307847,2.05E-06,8.67E-06,6.927234201,7.29E-08,3.61E-07,7.229853123,2.32E-08,1.15E-07
AT1G01880,-1.378094113,0.000977367,0.00275247,-0.884962582,0.031415142,0.060010502,-0.72437522,0.16073658,0.247781556
AT1G01890,4.191221973,0.000224895,0.000708786,4.132726431,2.75E-06,1.11E-05,6.6455898,3.92E-07,1.71E-06
AT1G01900,-0.769421829,0.00035756,0.001087311,-0.832552011,0.000144808,0.000456618,-2.450261741,4.91E-12,3.28E-11
AT1G04077,-1.966005331,0.378482326,NA,-0.678602689,0.745209311,NA,-1.866096583,0.426330938,0.535517288
AT1G01910,-0.044386917,0.769618817,0.841945004,-0.128246835,0.263393652,0.361169938,0.17207943,0.199985247,0.296422098
AT1G04083,-2.555741772,0.782483034,NA,-1.554348907,0.866723591,NA,0,1,NA
AT1G01920,-0.482414409,0.041822217,0.080129562,-1.314094672,6.92E-09,3.87E-08,-0.376821742,0.099226187,0.166445878
AT1G01930,0.106673151,0.664402689,0.760702125,0.751324123,0.000458226,0.001331549,0.183099308,0.41475478,0.524304016
AT1G01940,2.044791848,7.01E-08,3.56E-07,1.436118936,2.67E-07,1.23E-06,2.222110528,2.01E-16,1.78E-15
AT1G01950,-1.367822285,1.55E-13,1.32E-12,-1.304019853,4.98E-14,4.61E-13,-1.520435225,1.52E-12,1.06E-11
AT1G01960,-0.981574438,1.85E-22,2.73E-21,-1.013417476,6.03E-27,1.37E-25,-1.334630533,4.22E-33,8.34E-32
AT1G01970,0.053576566,0.771005896,0.843023114,0.116643731,0.331161113,0.433074802,0.211522605,0.170345762,0.260089302
AT1G01980,-0.688222131,0.940163514,NA,1.126324415,0.903343496,NA,0.575462528,0.95052652,NA
AT1G01990,2.395438326,1.10E-15,1.09E-14,1.258373247,2.90E-11,2.06E-10,1.452472714,2.04E-10,1.21E-09
AT1G02000,-0.158980691,0.501923477,0.61898244,-0.242421941,0.281310399,0.380711139,-0.99104051,0.001497048,0.003973353
AT1G02010,-1.24852188,3.28E-10,2.14E-09,-1.396200882,9.79E-16,1.05E-14,-1.178055694,5.25E-07,2.25E-06
AT1G02020,-1.192488279,0.002066719,0.005468198,-0.796244848,0.020698276,0.041701718,-0.469506891,0.250666734,0.354862018
AT1G02030,-1.948380252,0.073485018,0.129705793,1.371157156,0.182963135,0.269820222,2.361913799,0.055380845,0.101278139
AT1G02040,-0.621259006,0.830922856,NA,3.322348812,0.264260394,NA,2.499068398,0.425185942,NA
AT1G02050,-0.964177984,0.028667694,0.057690356,0.800121786,0.123838928,0.195082753,-0.096808185,0.86236017,0.904456487
