Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
atU2.4,2.02215557,3.93E-15,1.88E-13,1.948020185,9.19E-15,4.62E-13,0.80795905,0.001283145,0.006538097
atU2.5,1.296682644,2.15E-05,0.00029312,2.05953824,1.87E-12,6.78E-11,0.974766728,0.000855007,0.004601432
atU2.6,1.774665564,4.87E-09,1.25E-07,2.135302271,4.72E-13,1.85E-11,1.053358461,0.000275693,0.001706363
atU2.7,1.816826393,3.56E-13,1.44E-11,1.69587849,1.40E-12,5.17E-11,0.995446335,3.36E-05,0.000265678
atU2.9,3.50758944,2.28E-22,1.98E-20,2.5011454,1.95E-11,6.19E-10,-0.704332748,0.052928183,0.142501647
atU2-1,2.398008498,1.24E-18,8.18E-17,1.985446688,2.05E-13,8.55E-12,0.224666989,0.401210545,0.605610651
atU2-10,2.590567111,3.47E-17,2.01E-15,2.303703436,5.79E-14,2.63E-12,-0.170096111,0.578381682,0.761969652
atU2-10b/12,2.722680321,1.09E-18,7.24E-17,2.283611156,1.35E-13,5.86E-12,-0.116547291,0.704203295,0.85600298
atU2-11,1.574691494,1.03E-07,2.19E-06,1.66323256,2.83E-10,7.67E-09,0.931855337,0.00025476,0.001590913
atU2-13,1.827308929,6.90E-13,2.70E-11,1.692202981,3.54E-12,1.23E-10,0.867921798,0.000374796,0.002233409
