Gene.ID,FPKM.D.WT,FPKM.DTL12h.WT,FPKM.DTL24h.WT,FPKM.DTL48h.WT,FPKM.DTL24h.u5
AT5G05235,0,0,0,0,0
AT5G05240,2.219429154,2.584785939,1.880874719,2.950344168,2.056208467
AT5G05250,9.223781532,4.897562637,2.086235971,9.314066622,1.571647635
AT5G05260,0,0.053352448,0.010408593,0.148737586,0.041737532
AT5G05270,1.257164204,85.79293334,49.4497222,72.91909587,44.71695544
AT5G05275,2.694337227,1.919609082,1.525736034,2.576669775,0.764758205
AT5G05280,0.159332899,0.06026286,0.078378359,0.074667842,0.05892942
AT5G05285,0.844947192,0.191745464,0,0.178184623,0
AT5G05290,8.161746467,10.71818011,12.23662136,1.14858951,7.630758587
AT5G05295,3.446875029,2.384773985,1.954043385,2.92527218,1.026082617
AT5G05300,0.24374768,0.125713913,0.318833821,0.070093819,0.098345787
AT5G05305,0.174270358,0.098868755,0.173595819,0,0.09668108
AT5G05310,13.31360391,8.40033293,7.051992133,5.745454931,6.74852009
AT5G05315,0,0,0,0,0
AT5G05320,11.16813446,8.279732315,3.459604612,3.049516091,3.640968329
AT5G05325,0.066653205,0,0,0,0
AT5G05330,0.830347002,0.924713648,0.97009428,1.410573676,1.399032098
AT5G05335,0.158577767,0,0,0,0
AT5G05340,0.975058693,1.412064179,1.150205424,0.595224094,0.725997803
AT5G05345,0.080665161,0.018305498,0.017856208,0.068043501,0.053701352
AT5G05350,0.589861769,0.719489149,0.612061062,0.598634369,0.482681037
AT5G05355,0,0,0,0,0
AT5G05360,21.48478356,13.02153537,13.54656493,13.60158254,13.01022027
AT5G05365,5.228110754,5.932125287,5.569532514,5.994938122,4.350648596
AT5G05370,31.42663078,35.90137402,34.27006011,36.37131883,28.10141751
AT5G05375,0,0,0,0,0
AT5G05380,6.831754615,6.926375783,5.730289937,3.443839379,5.016536443
AT5G05385,0,0,0,0,0
AT5G05390,0.956809397,2.730255625,2.568877346,0.429519785,1.47156706
AT5G05395,0.315659517,0.059694343,0.116458411,0.166417714,0.058373482
AT5G05400,2.986249659,3.472944866,2.150312724,2.3366688,1.687023109
AT5G05410,10.66015266,67.99774962,18.37108506,11.64621604,13.27839384
AT5G05415,0.242463107,0.137556528,0.335450857,0.127828099,0.20176921
AT5G05420,2.594692004,1.669783414,2.057431924,2.572540497,1.589866647
AT5G05425,0.2215888,0.251427827,0.429199375,0.292057578,0
AT5G05430,3.623202336,3.531683892,3.633400855,5.076707825,3.561461176
AT5G05435,1.965339725,2.425115536,2.216044517,2.55149391,2.412342012
AT5G05440,22.61802928,23.67919517,30.16809758,22.46271724,33.50941118
AT5G05445,0.2823621,0.320384826,0.156260652,0.148863103,0.078323913
AT5G05450,11.18463244,12.42003483,12.17121245,14.30890287,11.90455779
AT5G05460,14.14680102,8.174740564,6.097841059,6.142533366,5.612867327
AT5G05465,0,0.085124668,0.083035369,0.079104384,0
AT5G05470,11.23595222,15.65118609,11.69943738,17.35131839,10.74381698
AT5G05475,0.046601544,0,0,0,0
AT5G05480,11.73248828,9.3873975,7.392640101,7.950310957,6.650405451
AT5G05490,0.619627941,0.479739631,0.419554745,0.361260589,0.331622423
AT5G05500,9.356453215,17.73766898,14.19130835,13.47887732,9.142536735
AT5G05510,2.351560001,2.261203206,1.852791584,2.069764566,1.569930293
AT5G05520,18.89648351,21.94411786,18.80389907,20.0040749,15.32356444
AT5G05525,0.453522861,0.343062667,0.278868785,0.584467032,0.950503147
AT5G05530,0.459499372,0.213289898,0.369875402,0.550570465,0.324442875
AT5G05535,0.651816406,0.493059764,0.400798427,0.840013223,1.366091103
AT5G05540,12.00958479,12.29041656,11.20867015,12.61416753,11.51426644
AT5G05545,1.135984559,1.054600051,1.524023648,0.725937354,1.565994776
AT5G05550,10.61208368,7.959544406,9.888911404,8.541110325,8.808605415
AT5G05560,4.508349256,6.854746465,5.349202931,6.642771626,4.904752212
AT5G05570,8.718121801,9.695437299,8.124218367,8.890955812,7.798189234
AT5G05580,2.661796668,35.63661954,42.17908338,53.06907071,46.26652768
AT5G05590,1.543390235,2.447220934,2.934669309,5.111612105,2.952918046
AT5G05598,0.091420516,0,0.202370353,0,0.101435887
AT5G05600,3.234225007,4.137378739,2.767868751,2.916722324,2.255434362
AT5G05605,0,0,0.183335518,0.087328107,0
AT5G05610,27.12185408,22.40055952,20.98950993,24.61434097,20.37308974
AT5G05620,6.107193406,6.523752534,6.739711525,9.418833466,6.905230396
AT5G05630,1.1993343,1.455577747,1.562677423,1.824856313,1.339147009
AT5G05635,6.560766436,3.87100254,4.502145152,3.666410658,4.440505129
AT5G05640,3.152798145,1.857178598,2.123428137,1.697540756,1.994715978
AT5G05653,0.081609534,0,0,0,0
AT5G05657,0.028745626,0,0,0,0
AT5G05660,13.37171463,12.01047258,13.02056903,13.78180329,12.24304545
AT5G05665,0,0,0,0,0
AT5G05670,14.51425215,15.99137881,16.53016345,18.30566956,16.68003905
AT5G05675,31.19910417,24.96836877,27.60851217,32.81727337,24.33227611
AT5G05680,11.00525025,7.321537522,7.517364652,8.416858162,6.673561268
AT5G05690,90.2411486,61.55387234,60.51345653,50.25055776,61.25039613
AT5G05695,0,0,0,0,0
AT5G05700,17.31051144,15.39189444,13.99541293,13.69864984,13.86512245
AT5G05710,24.87765948,13.78102041,15.63113864,10.3092532,14.97075132
AT5G05720,0.012337724,0,0,0,0
AT5G05725,0,0,0,0.147247727,0.092968785
